hive,hour_bucket_utc,tvd,tvd_zscore,queenless_candidate
hive_01,2026-03-07 17:00:00+00:00,,,False
hive_01,2026-03-07 18:00:00+00:00,0.5,,False
hive_01,2026-03-07 19:00:00+00:00,0.0,,False
hive_01,2026-03-07 20:00:00+00:00,0.0,,False
hive_01,2026-03-07 21:00:00+00:00,0.0,,False
hive_01,2026-03-07 22:00:00+00:00,0.0,,False
hive_01,2026-03-07 23:00:00+00:00,0.0,-0.408248290463863,False
hive_01,2026-03-08 00:00:00+00:00,0.0,-0.3779644730092272,False
hive_01,2026-03-08 01:00:00+00:00,0.0,-0.35355339059327373,False
hive_01,2026-03-08 02:00:00+00:00,0.0,-0.33333333333333326,False
hive_01,2026-03-08 03:00:00+00:00,0.5,1.8973665961010278,False
hive_01,2026-03-08 04:00:00+00:00,0.5,1.556997888323046,False
hive_01,2026-03-08 05:00:00+00:00,0.0,-0.5527707983925666,False
hive_01,2026-03-08 06:00:00+00:00,0.5,1.4411533842457842,False
hive_01,2026-03-08 07:00:00+00:00,0.0,-0.609449400220044,False
hive_01,2026-03-08 08:00:00+00:00,0.0,-0.5825752650035353,False
hive_01,2026-03-08 09:00:00+00:00,0.5,1.4361406616345072,False
hive_01,2026-03-08 10:00:00+00:00,0.5,1.3135791548583704,False
hive_01,2026-03-08 11:00:00+00:00,0.0,-0.6871842709362767,False
hive_01,2026-03-08 12:00:00+00:00,0.0,-0.6612465225335804,False
hive_01,2026-03-08 13:00:00+00:00,0.0,-0.638077469546494,False
hive_01,2026-03-08 14:00:00+00:00,0.5,1.3801311186847085,False
hive_01,2026-03-08 15:00:00+00:00,1.0,2.694966762281563,True
hive_01,2026-03-08 16:00:00+00:00,0.5,0.9583727150068315,False
hive_01,2026-03-08 17:00:00+00:00,0.0,-0.7139690280744995,False
hive_01,2026-03-08 18:00:00+00:00,0.5,0.999556639304299,False
hive_01,2026-03-08 19:00:00+00:00,0.0,-0.7139690280744995,False
hive_01,2026-03-08 20:00:00+00:00,0.5,0.920841674328305,False
hive_01,2026-03-08 21:00:00+00:00,0.0,-0.7791737244316426,False
hive_01,2026-03-08 22:00:00+00:00,0.5,0.8477912478906585,False
hive_01,2026-03-08 23:00:00+00:00,0.0,-0.8477912478906585,False
hive_01,2026-03-09 00:00:00+00:00,0.5,0.7791737244316426,False
hive_01,2026-03-09 01:00:00+00:00,0.5,0.7139690280744994,False
hive_01,2026-03-09 02:00:00+00:00,0.5,0.6512912772860178,False
hive_01,2026-03-09 03:00:00+00:00,0.0,-0.9995566393042993,False
hive_01,2026-03-09 04:00:00+00:00,0.0,-0.9208416743283048,False
hive_01,2026-03-09 05:00:00+00:00,0.0,-0.9208416743283048,False
hive_01,2026-03-09 06:00:00+00:00,0.5,0.7791737244316426,False
hive_01,2026-03-09 07:00:00+00:00,0.0,-0.9208416743283048,False
hive_01,2026-03-09 08:00:00+00:00,0.0,-0.9208416743283048,False
hive_01,2026-03-09 09:00:00+00:00,0.0,-0.8477912478906585,False
hive_01,2026-03-09 10:00:00+00:00,0.5,0.8477912478906585,False
hive_01,2026-03-09 11:00:00+00:00,0.5,0.7791737244316426,False
hive_01,2026-03-09 12:00:00+00:00,0.5,0.7139690280744994,False
hive_01,2026-03-09 13:00:00+00:00,0.5,0.6512912772860178,False
hive_01,2026-03-09 14:00:00+00:00,0.5,0.6512912772860178,False
hive_01,2026-03-09 15:00:00+00:00,0.5,0.8273595406616217,False
hive_01,2026-03-09 16:00:00+00:00,0.5,0.8273595406616217,False
hive_01,2026-03-09 17:00:00+00:00,0.0,-1.1583033569262706,False
hive_01,2026-03-09 18:00:00+00:00,0.0,-1.0642254261084714,False
hive_01,2026-03-09 19:00:00+00:00,0.5,0.8273595406616217,False
hive_01,2026-03-09 20:00:00+00:00,0.5,0.8273595406616217,False
hive_01,2026-03-09 21:00:00+00:00,0.5,0.7582875444051552,False
hive_01,2026-03-09 22:00:00+00:00,0.0,-1.1583033569262706,False
hive_01,2026-03-09 23:00:00+00:00,0.0,-1.1583033569262706,False
hive_01,2026-03-10 00:00:00+00:00,0.0,-1.0642254261084714,False
hive_01,2026-03-10 01:00:00+00:00,0.0,-0.978945010372561,False
hive_01,2026-03-10 02:00:00+00:00,0.5,0.978945010372561,False
hive_01,2026-03-10 03:00:00+00:00,0.5,0.9004984374763991,False
hive_01,2026-03-10 04:00:00+00:00,0.0,-1.0642254261084714,False
hive_01,2026-03-10 05:00:00+00:00,0.5,0.8273595406616217,False
hive_01,2026-03-10 06:00:00+00:00,0.5,0.8273595406616217,False
hive_01,2026-03-10 07:00:00+00:00,0.5,0.7582875444051552,False
hive_01,2026-03-10 08:00:00+00:00,0.0,-1.263812574008592,False
hive_01,2026-03-10 09:00:00+00:00,0.5,0.692218655243173,False
hive_01,2026-03-10 10:00:00+00:00,1.0,2.348344216438943,True
hive_01,2026-03-10 11:00:00+00:00,1.0,2.056195802074936,True
hive_01,2026-03-10 12:00:00+00:00,0.0,-1.134979424735816,False
hive_01,2026-03-10 13:00:00+00:00,0.5,0.46734446900886534,False
hive_01,2026-03-10 14:00:00+00:00,0.0,-1.046536236944567,False
hive_01,2026-03-10 15:00:00+00:00,0.5,0.5232681184722836,False
hive_01,2026-03-10 16:00:00+00:00,0.5,0.5232681184722836,False
hive_01,2026-03-10 17:00:00+00:00,0.5,0.46734446900886534,False
hive_01,2026-03-10 18:00:00+00:00,0.5,0.41123916041498715,False
hive_01,2026-03-10 19:00:00+00:00,0.5,0.41123916041498715,False
hive_01,2026-03-10 20:00:00+00:00,1.0,1.836357971562479,False
hive_01,2026-03-10 21:00:00+00:00,0.0,-1.1100193048514324,False
hive_01,2026-03-10 22:00:00+00:00,0.0,-1.1100193048514324,False
hive_01,2026-03-10 23:00:00+00:00,0.0,-1.1100193048514324,False
hive_01,2026-03-11 00:00:00+00:00,0.5,0.3166134433728412,False
hive_01,2026-03-11 01:00:00+00:00,0.0,-1.2031310848167962,False
hive_01,2026-03-11 02:00:00+00:00,0.5,0.3166134433728412,False
hive_01,2026-03-11 03:00:00+00:00,0.0,-1.1100193048514324,False
hive_01,2026-03-11 04:00:00+00:00,0.5,0.3166134433728412,False
hive_01,2026-03-11 05:00:00+00:00,0.0,-1.1100193048514324,False
hive_01,2026-03-11 06:00:00+00:00,0.5,0.37000643495047747,False
hive_01,2026-03-11 07:00:00+00:00,0.0,-1.0261937004158284,False
hive_01,2026-03-11 08:00:00+00:00,0.0,-1.0261937004158284,False
hive_01,2026-03-11 09:00:00+00:00,1.0,1.695582495781317,False
hive_01,2026-03-11 10:00:00+00:00,1.0,1.695582495781317,False
hive_01,2026-03-11 11:00:00+00:00,0.5,0.42255034723004686,False
hive_01,2026-03-11 12:00:00+00:00,0.0,-1.0261937004158284,False
hive_01,2026-03-11 13:00:00+00:00,0.5,0.42255034723004686,False
hive_01,2026-03-11 14:00:00+00:00,0.5,0.37000643495047747,False
