model,n_samples,n_clusters,n_noise,silhouette,davies_bouldin
kmeans,1316,4,0,0.32247144463121913,1.1329467918938854
gaussian_mixture,1316,4,0,0.31926945687774816,1.3609034586398692
dbscan,1316,15,927,0.26976770728483457,0.8505774834706076
