hive,cluster_kmeans,count,pct_within_hive
hive_01,0,1,0.0021645021645021645
hive_01,1,348,0.7532467532467533
hive_01,3,113,0.24458874458874458
hive_03,1,323,0.6991341991341992
hive_03,3,139,0.3008658008658009
hive_04,0,315,0.8035714285714286
hive_04,2,5,0.012755102040816327
hive_04,3,72,0.1836734693877551
