hive,hour_bucket_utc,tvd,tvd_zscore,queenless_candidate
hive_04,2026-03-13 02:00:00+00:00,1.0,4.694855340334421,True
hive_04,2026-03-13 03:00:00+00:00,1.0,3.246793289796358,True
hive_01,2026-03-08 15:00:00+00:00,1.0,2.694966762281563,True
hive_03,2026-03-16 14:00:00+00:00,1.0,2.6208570730882523,True
hive_04,2026-03-11 07:00:00+00:00,0.5,2.590045044653339,True
hive_04,2026-03-11 10:00:00+00:00,0.5,2.590045044653339,True
hive_04,2026-03-11 08:00:00+00:00,0.5,2.590045044653339,True
hive_01,2026-03-15 19:00:00+00:00,1.0,2.5433737436719768,True
hive_03,2026-03-15 11:00:00+00:00,1.0,2.543373743671976,True
hive_03,2026-03-11 05:00:00+00:00,1.0,2.47918912319159,True
hive_03,2026-03-14 00:00:00+00:00,1.0,2.427494695453298,True
hive_03,2026-03-12 09:00:00+00:00,1.0,2.421507911399786,True
hive_03,2026-03-08 05:00:00+00:00,1.0,2.3682814575440334,True
hive_03,2026-03-09 08:00:00+00:00,1.0,2.351349857814901,True
hive_01,2026-03-10 10:00:00+00:00,1.0,2.348344216438943,True
hive_01,2026-03-17 03:00:00+00:00,1.0,2.2162941036098887,True
hive_03,2026-03-12 12:00:00+00:00,1.0,2.2074085671120387,True
hive_04,2026-03-11 11:00:00+00:00,0.5,2.188987589427281,True
hive_01,2026-03-15 20:00:00+00:00,1.0,2.166612341778756,True
hive_03,2026-03-11 09:00:00+00:00,1.0,2.1666123417787557,True
