hive,cluster_gmm,count,pct_within_hive
hive_01,0,135,0.2922077922077922
hive_01,1,1,0.0021645021645021645
hive_01,2,326,0.7056277056277056
hive_03,0,163,0.3528138528138528
hive_03,2,299,0.6471861471861472
hive_04,0,28,0.07142857142857142
hive_04,1,204,0.5204081632653061
hive_04,3,160,0.40816326530612246
