timestamp,hive,filename,mfcc_00_mean,mfcc_00_std,mfcc_01_mean,mfcc_01_std,mfcc_02_mean,mfcc_02_std,mfcc_03_mean,mfcc_03_std,mfcc_04_mean,mfcc_04_std,mfcc_05_mean,mfcc_05_std,mfcc_06_mean,mfcc_06_std,mfcc_07_mean,mfcc_07_std,mfcc_08_mean,mfcc_08_std,mfcc_09_mean,mfcc_09_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,flatness_mean,flatness_std,zcr_mean,zcr_std,rms_mean,rms_std,chroma_mean,chroma_std,mod_energy_bee,mod_peak_freq
2026-03-07 17:03:14,hive_03,hive_03_20260307_170314.flac,-518.2877006101291,17.70928305719057,144.0938486878427,11.982024318473403,18.73111294603004,6.674353908704218,-6.684219351907049,3.9084699426221072,15.789322164622698,4.737097778768372,2.6632777197751745,3.1126338727677605,-13.345245140814342,2.9786071509216576,-3.3145013776731753,2.7193463330165635,-1.8563554214812035,3.634831314533427,-13.316311209431163,2.7987499260555855,-11.495726303514969,2.189044516665833,-5.391057907809397,2.151780625703438,-10.235842686460996,2.5946120646451094,546.5997478770596,41.18497794568573,536.4224998692333,32.66338103533818,1069.5209663982228,2.8413775690707515e-05,2.1626414608834555e-05,0.039276190641488476,0.005282949041315778,0.00039724982,0.0006342318,0.4866021533894053,0.2724133857429104,0.0,0.0
2026-03-07 17:03:20,hive_04,hive_04_20260307_170320.flac,-447.7727969605237,14.344876278680138,143.67809289714745,10.081316772673627,5.279236099719583,6.692967700080774,-21.512023160158662,4.700033062324417,7.854047127354966,5.041396740483834,1.2082183673933515,3.621146570113425,-12.978455549352503,3.5311699790049444,-6.2041572067185955,3.281406896559983,-5.964925703573882,3.3304516398763093,-13.68919046778859,3.0974121418249063,-12.557120806946218,2.7028332260726144,-11.800458935351324,2.31400600873543,-15.149344989871144,2.6162295263288686,669.6951278282985,47.106172893461945,555.7226924764623,26.68937058192983,1246.0283254651486,2.540179316860029e-05,3.086618412819989e-05,0.05541915440155512,0.008799976338416674,0.0005759079,0.0007606372,0.4130751895574772,0.2789945563793846,0.0,0.0
2026-03-07 17:03:23,hive_01,hive_01_20260307_170323.flac,-495.99760534039314,11.279957947232493,165.26612393216453,7.807075085385393,5.760380481730439,4.975595692670278,-6.405981770848987,2.9799210972793926,20.889237331544777,3.8804203167478004,-7.761160995886429,2.457140756051742,-17.449312603763225,2.133846199286426,2.497409288481272,2.0977939307415605,-5.0218435333715075,2.623599007386185,-16.52833374765582,2.0841008454365144,-7.627740847271625,2.2229269176956588,-8.459525248616464,1.776726906166393,-14.795786169520518,1.9335853613332925,550.7039313412947,35.14596801107324,547.736470206137,22.252391113499254,1067.3015828936407,1.478222410723089e-05,5.094626585834956e-06,0.03772958900305472,0.004592731379437175,0.0005601845,0.00059661735,0.3904043161551408,0.2886869392358663,0.0,0.0
2026-03-07 17:33:14,hive_03,hive_03_20260307_173314.flac,-590.2628768945614,10.055566488259336,210.51897128187693,4.568136345036407,-19.19622345047831,7.228263470493656,-8.409934822019263,3.7712395786067012,31.3549201856235,3.1475528806710127,-12.091378601928477,3.3342026778248237,-15.236909685190808,3.049039724360901,4.203751002744475,2.5027941376413003,-9.874156332088607,2.006194707272307,-15.000733940899018,1.9506422171886009,-7.908431323320558,1.82643110543486,-10.23886042286284,1.742292560270808,-11.254548669025064,2.0954188891727097,561.5687636740832,39.19034782040414,551.1739092951061,28.162798387444983,1111.938350458206,3.5371039784434784e-05,8.936287572198766e-06,0.0407806685642877,0.004325889205051344,0.00025746544,8.694733e-05,0.521202605911488,0.2517123491691922,0.0,0.0
2026-03-07 17:33:20,hive_04,hive_04_20260307_173320.flac,-772.3497764336848,163.34092122276456,77.18077889556056,112.38637584229873,-16.960999027159385,25.00154298445931,-5.33595092875996,8.100077091598381,7.583197363366991,11.286983070048153,-7.1639248685051635,10.743465360949104,-3.0467621140117567,4.677919891783846,-1.288078700143258,2.6478754877404103,-6.3150260258542525,9.364650467017487,-3.3463229799201533,5.075062390382242,-4.058490183946102,6.18920104737167,-6.113496205663871,9.00923969990797,-4.610687113304013,6.816291368217326,217.45428731925767,316.51266443849346,178.24112046936094,259.4423609885833,4338.9553723017225,0.6793659573317171,0.466707036597658,0.018526315789473686,0.02721809821848425,0.00014567244,0.00021972945,0.1478978321070373,0.2631837461285144,0.0,0.0
2026-03-07 17:33:23,hive_01,hive_01_20260307_173323.flac,-560.0567116811441,5.928602547515923,235.00609796529847,3.2835471395526312,-35.33828377671119,4.410366911769762,-7.448131012388546,2.602876539931291,37.05568217492638,2.306373320868791,-24.764476665200913,2.3534070408205348,-18.8286125820143,2.0897231787337716,10.41528575840319,1.8688388998471905,-15.277535729904393,1.8854734995096383,-17.544088280488463,1.891432643618424,-2.983093643268173,1.6455962482278825,-15.932542710808464,1.7098110186753077,-16.4957143572843,1.6714773555396143,569.7882658037138,23.515618642585146,561.8933648468548,18.2267175948687,1125.0122188281034,1.7587254048384037e-05,2.090023412129647e-05,0.03983048111635657,0.0029346808249067755,0.0004437935,6.68635e-05,0.4208170021883345,0.27835402639614726,0.0,0.0
2026-03-07 18:03:14,hive_03,hive_03_20260307_180314.flac,-616.1154387692676,9.874828821442968,246.77377994778266,4.809037608912753,-42.79140991489364,6.853432691021437,-1.643139296841546,4.733895364327209,35.021213718021656,2.7067877796778252,-19.717099557378923,3.3429040822934253,-8.669493867260964,3.6136599514759027,2.455994215768263,3.0669151263500467,-12.2126602044336,2.2157618320401826,-8.962374905330632,2.3009628555362283,-10.660915815811624,2.174279729130194,-10.806363923514134,2.213576547370248,-8.684933901908677,2.029025665072605,565.3337114404059,34.17002054594844,551.4124301893469,27.935815064877875,1125.2121632879755,3.5791563938461186e-05,2.6828400739915194e-05,0.04162890516523188,0.0034257286810159895,0.0002519764,2.5266414e-05,0.5305071370000559,0.2418548206243798,0.0,0.0
2026-03-07 18:03:23,hive_01,hive_01_20260307_180323.flac,-576.966952390711,6.2482231898540075,250.76337162496517,3.1642760985154608,-45.1420148920303,4.5761069906706515,-3.952470047254815,2.9218194450173014,39.616439321513276,2.2558383815543204,-27.331599733930844,2.421392755652326,-14.861736634465576,2.6090623024836774,10.380008970498972,2.3540715239475642,-16.70996050730038,1.9560156473747183,-14.34839988566729,1.9889267688815901,-3.225554592179457,1.815916561648377,-15.717890736371908,1.6897535284064054,-14.173390006028152,1.6713439556298681,566.759486561242,28.267752210177488,563.2780695257121,20.04000323304113,1129.4382116078866,1.799197882203358e-05,2.3043619035992154e-05,0.03893156414884753,0.003906920210350105,0.0004287434,4.7358277e-05,0.41736114074444236,0.282172772324994,0.0,0.0
2026-03-07 18:33:14,hive_03,hive_03_20260307_183314.flac,-641.5371760081301,8.134319864225445,262.90613305125777,4.410498292649456,-53.9668668209146,4.937800616626923,4.546834291300099,4.027225405729402,35.0952421063297,2.7680307704304545,-24.05061899552709,3.0446319254268794,-5.691918749859714,2.951398255973831,-0.15538812565658155,2.9910640813206544,-12.630754820993237,1.9922802787985958,-7.173569188243808,2.0179672761985943,-12.769866976042897,1.9033682863020445,-9.536546790009202,2.046885440827647,-8.597890106264343,1.9506616588351167,560.0160843646344,24.790796576739126,549.7008648188008,17.92692034349596,1111.3485143015828,3.78215536963779e-05,6.013738802705746e-06,0.04071124340460983,0.002891515801793328,0.00022784386,2.0122527e-05,0.4926867535870493,0.25472283995736744,0.0,0.0
2026-03-07 18:33:23,hive_01,hive_01_20260307_183323.flac,-586.8064812212589,6.682977487707294,256.83089161823204,3.3928599784421527,-50.61963309204657,4.750991058211592,-1.1920425253184241,3.205115110801051,39.83312812656277,2.1270550832174866,-30.282411910583082,2.300672954914034,-14.619140523921338,2.3297274649413313,9.407602351624757,2.068057434025617,-16.710860201291577,1.859422246881868,-13.906999276618714,1.9416417167277449,-4.630530674012828,1.84460037321318,-15.641522713754737,1.916032701707785,-14.854282808275492,1.8657813671658767,571.7561848198616,25.212432263062187,568.0812419281169,19.659140279326397,1143.4684809775063,1.9368828475021328e-05,4.801242649130669e-06,0.039619914607053594,0.0029870218140395912,0.0004035721,3.698401e-05,0.42781654463494245,0.28130940845878066,0.0,0.0
